"TCGA.AF.2687.01"	"TCGA.AF.2690.01"	"TCGA.AF.2693.01"	"TCGA.AF.3911.01"	"TCGA.AF.4110.01"	"TCGA.AF.5654.01"	"TCGA.AF.6136.01"	"TCGA.AF.6655.01"	"TCGA.AF.6672.01"	"TCGA.AF.A56K.01"	"TCGA.AF.A56L.01"	"TCGA.AF.A56N.01"	"TCGA.AG.3591.01"	"TCGA.AG.3592.01"	"TCGA.AG.3725.01"	"TCGA.AG.3731.01"	"TCGA.AG.3732.01"	"TCGA.AG.3742.01"	"TCGA.AG.4021.01"	"TCGA.AG.4022.01"	"TCGA.AH.6544.01"	"TCGA.AH.6547.01"	"TCGA.AH.6549.01"	"TCGA.AH.6643.01"	"TCGA.AH.6644.01"	"TCGA.AH.6897.01"	"TCGA.AH.6903.01"	"TCGA.BM.6198.01"	"TCGA.CI.6619.01"	"TCGA.CI.6620.01"	"TCGA.CI.6621.01"	"TCGA.CI.6622.01"	"TCGA.CI.6623.01"	"TCGA.CI.6624.01"	"TCGA.CL.4957.01"	"TCGA.CL.5917.01"	"TCGA.CL.5918.01"	"TCGA.DC.4745.01"	"TCGA.DC.4749.01"	"TCGA.DC.5337.01"	"TCGA.DC.5869.01"	"TCGA.DC.6154.01"	"TCGA.DC.6155.01"	"TCGA.DC.6156.01"	"TCGA.DC.6157.01"	"TCGA.DC.6158.01"	"TCGA.DC.6160.01"	"TCGA.DC.6681.01"	"TCGA.DC.6682.01"	"TCGA.DC.6683.01"	"TCGA.DT.5265.01"	"TCGA.DY.A0XA.01"	"TCGA.DY.A1DC.01"	"TCGA.DY.A1DD.01"	"TCGA.DY.A1DE.01"	"TCGA.DY.A1DF.01"	"TCGA.DY.A1DG.01"	"TCGA.DY.A1H8.01"	"TCGA.EF.5830.01"	"TCGA.EF.5831.01"	"TCGA.EI.6506.01"	"TCGA.EI.6507.01"	"TCGA.EI.6508.01"	"TCGA.EI.6509.01"	"TCGA.EI.6510.01"	"TCGA.EI.6511.01"	"TCGA.EI.6512.01"	"TCGA.EI.6513.01"	"TCGA.EI.6514.01"	"TCGA.EI.6881.01"	"TCGA.EI.6882.01"	"TCGA.EI.6883.01"	"TCGA.EI.6884.01"	"TCGA.EI.6885.01"	"TCGA.EI.6917.01"	"TCGA.EI.7002.01"	"TCGA.EI.7004.01"	"TCGA.F5.6464.01"	"TCGA.F5.6465.01"	"TCGA.F5.6571.01"	"TCGA.F5.6702.01"	"TCGA.F5.6810.01"	"TCGA.F5.6811.01"	"TCGA.F5.6812.01"	"TCGA.F5.6813.01"	"TCGA.F5.6814.01"	"TCGA.F5.6861.01"	"TCGA.F5.6863.01"	"TCGA.F5.6864.01"	"TCGA.G5.6233.01"	"TCGA.G5.6235.01"	"TCGA.G5.6572.01"	"TCGA.G5.6641.01"
"hsa-mir-601"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-526a-2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-526a-1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-602"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2835	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-609"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2541	0	0	0	0	0.1809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-608"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-2115"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.2674	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-3175"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-3118-1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-1208"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-1205"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3034	0	0	0
"hsa-mir-1204"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1959	0	0.3011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-1207"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-1206"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-1201"	2.9779	5.7302	5.0343	4.2328	3.8984	3.1559	6.8802	6.115	4.846	NA	NA	NA	4.1295	5.6766	5.0307	5.375	2.0077	2.3001	4.2893	4.3937	5.2664	4.4883	4.0786	5.6027	4.4501	4.3125	2.9971	4.8295	4.8227	4.1649	5.172	5.5757	4.9072	5.479	4.7855	3.4644	3.2586	5.1207	5.3935	2.7631	3.3727	3.5671	2.4178	2.1613	1.7486	2.6982	2.8509	4.2689	6.154	4.9347	6.1797	5.6073	6.1928	6.0325	3.7166	6.3794	6.4217	7.0721	3.0224	2.0197	3.7883	3.2128	3.8204	5.3929	5.2673	3.5957	5.3653	5.585	4.5595	2.6406	2.5681	3.7521	1.9892	3.5994	3.1108	2.9817	1.5735	3.5867	5.3633	4.3503	4.2324	3.6734	4.4656	4.8099	5.3331	1.6998	3.3773	2.3934	2.7025	6.0043	6.2063	5.2577	5.376
"hsa-mir-1200"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-1203"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-1202"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-548c"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-549"	0.5346	0.681	1.2609	1.0468	0.697	2.8102	0.8336	1.3305	0.7859	0.4229	1.2784	1.8994	0.5402	0.9844	2.0321	1.7816	0	1.4117	0.4107	0.754	1.9027	0.1916	0.592	0.9989	0.7124	0.5353	2.1218	0.8779	0.8099	1.795	0.3684	1.7342	0.55	1.1587	0.8723	1.7143	2.2825	1.2463	1.2615	1.6737	1.0523	1.1413	0.9747	0.3667	0.8743	0.856	2.6935	0.9126	1.4124	0.4398	1.4269	3.5353	0.7807	1.1085	0.8812	0.4478	2.5177	1.1295	2.4407	0	1.0721	2.119	2.0663	1.3043	1.863	0.6825	1.7411	2.1287	0.4887	0.7264	1.3317	1.6407	1.1296	2.382	2.161	1.5864	0.6313	0.9555	0	0.4456	0.5751	0.5216	0.2233	0.3072	0.5228	1.6998	1.6772	1.3759	0.3459	0.3034	1.8077	0.8977	0.5327
"hsa-mir-3183"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0.506	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-1285-2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-3118-6"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-1233-2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-510"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0403	0.1503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-1233-1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-4297"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-16-2"	1.8246	2.7723	3.4757	1.5971	2.2782	2.3546	3.6406	3.5019	3.4459	3.3258	3.4833	2.4908	1.9548	2.7805	3.3229	2.7706	2.1286	2.934	2.7222	1.8605	3.7907	3.2075	2.9569	3.3672	2.8424	3.6646	2.9457	3.1632	3.0275	3.296	3.193	3.4703	4.1836	3.2901	3.1746	3.4343	3.674	2.9104	3.5291	2.5865	2.3624	1.6829	4.1218	2.3642	2.4444	2.084	3.9465	3.0768	3.186	2.8195	1.4269	3.4568	4.2071	2.9214	3.1403	2.9623	4.1684	4.4144	2.491	3.8522	3.0051	3.1282	3.2096	2.9159	3.8266	3.5715	4.0378	3.3848	1.7737	3.52	3.3366	3.4443	3.903	1.5127	2.5511	2.7146	2.2089	1.5674	2.0798	2.748	2.4568	2.4209	3.1212	2.9565	3.4072	3.7406	2.7214	2.9841	1.8913	3.5276	3.8365	3.1084	3.3755
"hsa-mir-3180-3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-16-1"	7.631	8.8261	9.4895	8.9381	8.9165	7.1988	10.2776	9.6639	9.6696	9.4721	8.6058	7.5461	8.906	9.4932	9.4289	9.1917	8.208	8.7019	8.9186	9.1474	9.7433	9.2344	8.5863	9.4909	8.8323	7.8686	8.5391	9.9602	9.3104	9.2096	9.2001	9.5134	10.178	9.6385	8.8825	9.2839	9.2515	9.5404	9.9195	8.1789	7.8668	8.2067	9.3552	7.9406	8.5732	8.357	9.1773	8.4399	9.7794	9.1084	8.5884	9.0522	10.2843	9.5489	8.8434	9.7753	10.4992	10.7965	6.7864	8.9575	8.5619	9.3429	8.6515	9.6513	9.7164	9.8107	10.0715	9.8322	8.8818	9.7564	8.8236	8.9704	9.7521	7.7034	8.3711	8.4016	7.3287	7.8406	8.7088	9.2139	8.7879	7.668	8.589	9.2246	8.8815	8.7479	7.7033	8.6287	7.4131	10.7181	10.1992	9.0618	9.9464
"hsa-mir-129-1"	1.5577	0.681	1.0338	2.2421	1.1649	0.7075	1.0306	0.4989	1.1421	0.7496	1.1518	0.705	0.5402	0.794	0.6097	1.7236	1.4629	0.3806	0.1503	1.7666	1.3452	2.2734	1.6773	0.7361	0.7124	1.6988	1.4202	0.2743	0.461	2.3217	0.5224	0.3898	0.7623	0.824	2.2014	0.2965	0.418	1.0209	0	1.3586	0.6903	0.4874	0.9747	1.4006	0.1876	0.6229	0.3203	1.4672	1.5208	0.9192	3.859	0.3863	0.4425	2.1598	1.7159	0.3134	0.7657	0.1788	1.2314	0.688	2.1068	0	1.7006	0.1809	1.1192	0.6825	1.1187	0.7439	1.9942	0.9867	0	0.7707	1.877	0.419	0.3004	1.0791	2.3398	1.0772	1.2836	0.5203	0.861	0.7873	0.5871	1.5352	1.4579	2.4587	1.1368	2.2795	1.7434	1.2656	1.6727	0.7818	1.6929
"hsa-mir-3180-4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-2117"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-548h-2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-34a"	4.9843	5.6165	6.641	5.4263	5.479	7.899	6.6747	7.3904	6.7923	7.1078	7.8526	6.8645	5.0287	6.2264	5.2105	6.4021	4.8458	7.5903	5.1485	6.0737	7.291	6.696	6.0903	7.756	6.7641	5.9142	8.3861	7.1081	5.8915	5.6554	6.5266	7.5068	6.8093	6.5996	6.4493	7.7512	7.7019	5.6156	6.0117	5.7474	4.914	7.5084	6.6637	6.5561	6.5908	6.9131	6.7501	6.4043	7.7225	6.959	7.5054	7.0049	7.7186	7.7417	5.6178	7.1593	6.4069	8.1556	5.0002	5.411	5.547	7.176	4.484	7.3576	7.669	6.8369	6.7365	7.2973	7.2017	7.2024	5.8646	8.2249	7.2154	6.2185	6.2869	6.6218	5.9603	6.1255	5.723	7.4235	6.8087	5.0353	6.1962	6.3222	6.8289	5.441	7.1525	6.3044	5.7887	6.8126	7.8166	7.5896	6.6443
"hsa-mir-34b"	0.6764	0.4877	1.0338	0	0.3201	0.3967	0.3342	0.6331	0.312	1.0157	1.1518	1.1765	0.5402	0	0.0919	0.7461	0.098	0	1.2792	0.5436	0.4248	0.9958	0.7454	0.4145	0.5116	0.5353	0	0.7033	0	0.5563	0.9051	0.208	0	0.6927	0.8723	0.2965	1.1219	0.7537	0	0.3927	0.2059	0.8511	0	1.1726	0.5024	0.536	0.5822	0.8126	1.2951	0.7764	2.4603	0.6908	0.8778	1.0084	0.8812	0.789	0.7657	0.1788	0.47	0.688	0.3512	0.7689	0.248	1.0488	0	1.0059	0	0	0.8532	0.7264	0	0.9571	0.3752	0.7433	1.6245	0	0.5252	0.676	0.4421	0.9019	1.3965	0.7873	0	1.1286	1.5683	0.6435	0.8474	0.6152	0.7068	0.5539	1.3578	1.7847	0.4168
"hsa-mir-34c"	2.4945	2.4919	1.784	1.3175	2.0375	1.1802	1.0306	2.1956	1.0609	2.7993	1.6025	1.9784	1.2404	0.5746	0.9414	2.041	0.8822	2.0069	3.1721	2.0715	1.4393	2.3557	1.8898	2.1682	1.4344	0.5353	1.4202	2.5402	2.0706	1.3386	1.3785	1.2607	1.6269	3.0156	1.804	2.1447	1.6712	2.1476	1.4068	1.7427	2.2271	1.4899	0.5681	3.8682	1.6878	2.257	1.4542	1.8668	3.3419	2.5167	3.1507	1.427	2.5911	2.4157	2.7851	2.7446	1.8583	1.9151	1.886	2.2222	1.408	2.4792	0.9543	2.5713	1.3018	2.0088	1.7411	2.6258	2.3767	1.3985	1.7117	1.7457	1.7554	1.124	3.4835	1.5864	2.5706	3.1741	1.5716	2.6516	3.3655	1.5297	2.3745	3.2721	2.5905	2.5306	2.0694	2.4989	2.3404	2.1734	2.295	3.5942	1.7418
"hsa-mir-216a"	0.8054	3.2397	0.7641	0.5124	0.9027	1.1802	0	1.2493	1.6097	2.6893	1.1518	2.3193	0.9324	1.3032	1.4725	1.7236	0.8262	1.9516	0.6312	2.148	0.5979	1.2751	1.0105	1.1143	1.6454	0.9249	1.2611	0.2743	1.5274	1.8431	1.6698	1.7999	0.7623	1.3452	1.4121	1.9876	1.006	1.347	0.5928	0.8337	3.1161	0.2642	0.5681	2.4684	2.2892	1.6599	0.3203	3.2203	1.1675	1.1683	1.4269	0	1.8609	1.9599	1.4242	0.1652	1.9913	1.7551	1.7272	0.688	0.6334	0.2339	1.5237	1.1391	1.1192	0	0.4756	0	1.0902	0.7264	0.4639	0.9571	1.1296	0.419	2.0843	1.876	2.3082	1.2937	1.2836	1.821	0.2182	1.4553	1.4191	1.8987	1.7665	0	0.9994	1.7625	1.8192	0.5539	1.2671	1.5211	0.7398
"hsa-mir-216b"	0	0.681	0.432	0.2788	0	0	0.3342	0.1861	0.5683	0	0	0.506	0.2034	0	0	1.3161	0	0	0	0.1563	0	0.649	0.2254	0	0	0	0	0	0	0.5563	0.1959	0	0	0	0	0	0	0.2284	0	0	0.2059	0	0	0.1329	0	0	0	0	0	0.1231	0	0	0	0	0	0.1652	0	0.3379	0.47	0	0	0	0	0	0	0	0	0	0.1119	0	0	0	0	0	0	0	0	0.1182	0	0.3668	0.1132	0	0.2233	0	0	0	0	0	0.2396	0.3034	0.3924	0	0
"hsa-mir-891b"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-450a-1"	1.135	1.0039	2.1671	1.1194	0.9955	2.0583	1.3586	3.0767	1.4908	2.5703	3.0229	2.8682	0.3816	1.785	1.985	1.9427	0.4344	1.5668	2.1385	2.2206	1.7641	0.9958	2.8926	1.501	1.9134	2.0513	1.2611	3.9298	1.8623	2.1411	1.9668	2.1417	3.3942	3.0156	2.2014	2.6432	2.4692	1.5295	2.2278	1.3586	2.2736	1.9312	2.9554	1.2911	1.6242	1.5311	1.1654	2.7107	3.6351	2.3998	1.4269	1.2521	2.2717	1.156	1.1392	1.5564	0.7657	2.767	2.5866	1.1519	0.8694	1.5538	2.304	1.8232	1.1192	2.2723	2.1108	2.5723	0.6457	1.9801	1.7117	2.1796	1.6225	2.0118	1.2563	1.4753	0.8226	0.676	1.1732	1.7606	2.6189	1.4553	2.3745	1.6487	2.0962	1.6998	1.7646	1.5166	1.926	1.6353	1.9311	1.1049	2.3275
"hsa-mir-939"	0.8054	1.2676	1.4571	1.1885	0.9027	1.6851	1.2039	1.8547	1.1421	0.7496	1.3947	1.0358	1.2404	1.4395	0.729	0.6246	1.3875	1.4117	0.73	1.2466	0.7525	0.8892	0.4203	0.9989	0.8886	1.4839	0.8782	1.5285	1.0906	1.2699	0.9051	1.2607	1.7314	0.5481	1.6848	1.2442	1.7454	1.138	1.336	0.9551	1.1553	1.0035	1.7711	0.5679	0.5024	1.3896	1.1654	0.9126	1.1675	0.6179	1.7012	0.8219	1.7108	1.3728	0.9724	0.684	1.0359	1.214	1.9593	1.7841	1.481	1.0398	0.6439	1.5213	0.6655	1.0059	1.2429	1.6999	0.6457	2.095	1.8698	0.9571	1.3133	2.2348	1.1093	0.2899	0.5252	0.7511	2.0798	0.9019	1.2055	0.1956	0.7396	0.5603	1.0648	2.7272	0.8474	2.0206	0.5376	0.3034	1.2671	1.286	0.1527
